Asset_ID;Category;Monetization;Start_Date;Rev_2025-01-12;Rev_2025-01-13;Rev_2025-01-14;Rev_2025-01-15;Rev_2025-01-16;Rev_2025-01-17;Rev_2025-01-18;Rev_2025-01-19;Rev_2025-01-20;Rev_2025-01-21;Rev_2025-01-22;Rev_2025-01-23;Rev_2025-01-24;Rev_2025-01-25;Rev_2025-01-26;Rev_2025-01-27;Rev_2025-01-28;Rev_2025-01-29;Rev_2025-01-30;Rev_2025-01-31;Rev_2025-02-01;Rev_2025-02-02;Rev_2025-02-03;Rev_2025-02-04;Rev_2025-02-05;Rev_2025-02-06;Rev_2025-02-07;Rev_2025-02-08;Rev_2025-02-09;Rev_2025-02-10;Rev_2025-02-11;Rev_2025-02-12;Rev_2025-02-13;Rev_2025-02-14;Rev_2025-02-15;Rev_2025-02-16;Rev_2025-02-17;Rev_2025-02-18;Rev_2025-02-19;Rev_2025-02-20;Rev_2025-02-21;Rev_2025-02-22;Rev_2025-02-23;Rev_2025-02-24;Rev_2025-02-25;Rev_2025-02-26;Rev_2025-02-27;Rev_2025-02-28;Rev_2025-03-01;Rev_2025-03-02;Rev_2025-03-03;Rev_2025-03-04;Rev_2025-03-05;Rev_2025-03-06;Rev_2025-03-07;Rev_2025-03-08;Rev_2025-03-09;Rev_2025-03-10;Rev_2025-03-11;Rev_2025-03-12;Rev_2025-03-13;Rev_2025-03-14;Rev_2025-03-15;Rev_2025-03-16;Rev_2025-03-17;Rev_2025-03-18;Rev_2025-03-19;Rev_2025-03-20;Rev_2025-03-21;Rev_2025-03-22;Rev_2025-03-23;Rev_2025-03-24;Rev_2025-03-25;Rev_2025-03-26;Rev_2025-03-27;Rev_2025-03-28;Rev_2025-03-29;Rev_2025-03-30;Rev_2025-03-31;Rev_2025-04-01;Rev_2025-04-02;Rev_2025-04-03;Rev_2025-04-04;Rev_2025-04-05;Rev_2025-04-06;Rev_2025-04-07;Rev_2025-04-08;Rev_2025-04-09;Rev_2025-04-10;Rev_2025-04-11
IP-0001;Finance & Business;Subscriptions;12.01.25;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37;4,37
IP-0001;Finance & Business;Licensing;12.01.25;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29;2,29
IP-0002;Finance & Business;Advertising;12.01.25;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24;2,24
IP-0003;Gaming;Licensing;13.01.25;0;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99
IP-0003;Gaming;Advertising;13.01.25;0;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71;1,71
IP-0004;Finance & Business;Advertising;13.01.25;0;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27
IP-0005;Technology;Staking;14.01.25;0;0;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07
IP-0005;Technology;Licensing;14.01.25;0;0;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18
IP-0006;Technology;Licensing;14.01.25;0;0;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47
IP-0006;Technology;Advertising;14.01.25;0;0;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51
IP-0007;Media & Entertainment;Advertising;15.01.25;0;0;0;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16
IP-0007;Media & Entertainment;Staking;15.01.25;0;0;0;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42;4,42
IP-0008;Publishing;Staking;15.01.25;0;0;0;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24;3,24
IP-0008;Publishing;Advertising;15.01.25;0;0;0;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63;1,63
IP-0009;Lifestyle;Subscriptions;16.01.25;0;0;0;0;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08;1,08
IP-0010;Knowledge & Utilities;Staking;16.01.25;0;0;0;0;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28;3,28
IP-0011;Media & Entertainment;Licensing;17.01.25;0;0;0;0;0;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17;4,17
