siteName;pageName;date;currency;generatedAt;revenueDisplay;revenuePerformance;revenueSubscriptions;revenueLicencing;revenueAIUsage;revenue;visits;impressions;clicksOCNetwork;clicksAd;ecpm;cpc;pageCtr;premiumQuality;standardQuality;lowQuality;Licenced;usageAI;earningsCNFTlicence;newSubscriptions;topics;promotionsCount;OCNetworkImpressions;OCNetworkClicks;OCNetworkRevenueDisplay;OCNetworkRevenuePerformance;OCNetworkRevenueSubscriptions;OCNetworkRevenueLicencing;OCNetworkRevenueAIUsage;;;VisitsUntergrenze;Visits Obergrenze;CPM;CPC;LicenceFee;AIUsageFee
;;;;;sum;sum;sum;sum;sum;sum;sum;sum;sum;sum;avg;avg;avg;avg;avg;avg;sum;sum;sum;sum;list;sum;sum;sum;sum;sum;sum;sum;sum;;;helper;helper;helper;helper;helper;helper
herold.biz;How to get started;01.01.25;CUSD;01.01.25;0,018;10,5;4;0;0,04;14,558;60;60;6;5;0,87348;2,1;8%;0,124%;27,751%;72%;0;2;0;1;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";1381;26858;26858;26,858;37601,2;20000;2000;1000;;;20;100;0,3;2,1;10;0,02
herold.biz;How to get started;02.01.25;CUSD;01.01.25;0,144;8;12;0;0,02;20,164;32;96;77;10;1,935744;0,8;10%;0,714%;59,611%;40%;0;1;0;3;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";781;29433;88299;264,897;20603,1;20400;2020;1010;;;20,2;102;1,5;0,8;10;0,02
herold.biz;How to get started;03.01.25;CUSD;01.01.25;0,0516;25;20;0;0,02;45,0716;86;86;52;10;3,8761576;2,5;12%;0,114%;44,418%;55%;0;1;0;5;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";1738;20972;62916;188,748;6291,6;20808;2040,2;1020,1;;;20,402;104,04;0,6;2,5;10;0,02
herold.biz;How to get started;04.01.25;CUSD;01.01.25;0,0273;4;8;0;0,02;12,0473;91;91;55;2;1,0963043;2;2%;0,227%;66,571%;33%;0;1;0;2;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";1419;25323;101292;202,584;30387,6;21224,16;2060,602;1030,301;;;20,60602;106,1208;0,3;2;10;0,02
herold.biz;How to get started;05.01.25;CUSD;01.01.25;0,204;37,4;20;0;0;57,604;51;204;41;17;11,751216;2,2;8%;0,354%;34,720%;65%;0;0;0;5;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";1173;26587;106348;106,348;13293,5;21648,6432;2081,20802;1040,60401;;;20,8120802;108,243216;1;2,2;10;0,02
herold.biz;How to get started;06.01.25;CUSD;01.01.25;0,0928;46,2;8;0;0,02;54,3128;58;232;232;22;12,6005696;2,1;9%;0,171%;14,766%;85%;0;1;0;2;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";199;22732;45464;136,392;6819,6;22081,61606;2102,0201;1051,01005;;;21,020201;110,4080803;0,4;2,1;10;0,02
herold.biz;How to get started;07.01.25;CUSD;01.01.25;0,1716;1,6;16;0;0,02;17,7916;33;132;13;2;2,3484912;0,8;2%;0,965%;90,042%;9%;0;1;0;4;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";840;29182;87546;175,092;40854,8;22523,24839;2123,040301;1061,520151;;;21,23040301;112,6162419;1,3;0,8;10;0,02
herold.biz;How to get started;08.01.25;CUSD;01.01.25;0,0648;26,4;16;0;0,02;42,4848;54;108;97;11;4,5883584;2,4;10%;0,153%;37,708%;62%;0;1;0;4;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";1583;25920;77760;77,76;18144;22973,71335;2144,270704;1072,135352;;;21,44270704;114,8685668;0,6;2,4;10;0,02
herold.biz;How to get started;09.01.25;CUSD;01.01.25;0,046;14;16;0;0;30,046;115;115;12;7;3,45529;2;6%;0,153%;53,252%;47%;0;0;0;4;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";1192;23343;93372;93,372;32680,2;23433,18762;2165,713411;1082,856706;;;21,65713411;117,1659381;0,4;2;10;0,02
herold.biz;How to get started;10.01.25;CUSD;01.01.25;0,078;16,2;20;0;0,02;36,298;78;78;16;9;2,831244;1,8;12%;0,215%;55,155%;45%;0;1;0;5;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";200;25483;50966;50,966;17838,1;23901,85137;2187,370545;1093,685273;;;21,87370545;119,5092569;1;1,8;10;0,02
herold.biz;How to get started;11.01.25;CUSD;01.01.25;0,2136;92,5;20;0;0,02;112,7336;89;356;356;37;40,1331616;2,5;10%;0,189%;17,759%;82%;0;1;0;5;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";747;22377;89508;179,016;13426,2;24379,8884;2209,244251;1104,622125;;;22,09244251;121,899442;0,6;2,5;10;0,02
herold.biz;How to get started;12.01.25;CUSD;01.01.25;0,154;11,7;16;0;0;27,854;55;110;22;9;3,06394;1,3;8%;0,553%;57,442%;42%;0;0;0;4;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";1133;23221;23221;69,663;16254,7;24867,48617;2231,336693;1115,668347;;;22,31336693;124,3374308;1,4;1,3;10;0,02
herold.biz;How to get started;13.01.25;CUSD;01.01.25;0,0715;6,4;20;0;0,02;26,4915;55;55;50;4;1,4570325;1,6;7%;0,270%;75,571%;24%;0;1;0;5;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";571;28374;85122;85,122;8512,2;25364,83589;2253,65006;1126,82503;;;22,5365006;126,8241795;1,3;1,6;10;0,02
herold.biz;How to get started;14.01.25;CUSD;01.01.25;0,1652;19,2;20;0;0;39,3652;59;118;106;8;4,6450936;2,4;7%;0,420%;50,806%;49%;0;0;0;5;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";546;24773;74319;148,638;37159,5;25872,13261;2276,186561;1138,09328;;;22,76186561;129,360663;1,4;2,4;10;0,02
herold.biz;How to get started;15.01.25;CUSD;01.01.25;0,0248;8;20;0;0,02;28,0448;31;31;22;4;0,8693888;2;13%;0,088%;71,386%;29%;0;1;0;5;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";851;20746;82984;82,984;29044,4;26389,57526;2298,948426;1149,474213;;;22,98948426;131,9478763;0,8;2;10;0,02
herold.biz;How to get started;16.01.25;CUSD;01.01.25;0,4356;13,5;4;0;0,02;17,9556;99;396;198;5;7,1104176;2,7;1%;2,426%;22,389%;75%;0;1;0;1;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";933;20199;60597;121,194;22218,9;26917,36677;2321,937911;1160,968955;;;23,21937911;134,5868338;1,1;2,7;10;0,02
herold.biz;How to get started;17.01.25;CUSD;01.01.25;0,1022;23,2;16;0;0,02;39,3222;73;73;22;8;2,8705206;2,9;11%;0,260%;40,740%;59%;0;1;0;4;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";1566;29913;119652;239,304;23930,4;27455,7141;2345,15729;1172,578645;;;23,4515729;137,2785705;1,4;2,9;10;0,02
herold.biz;How to get started;18.01.25;CUSD;01.01.25;0,3696;28,8;8;0;0,02;37,1896;77;308;31;32;11,4543968;0,9;10%;0,994%;21,565%;77%;0;1;0;2;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";1081;28783;28783;28,783;20148,1;28004,82838;2368,608863;1184,304431;;;23,68608863;140,0241419;1,2;0,9;10;0,02
herold.biz;How to get started;19.01.25;CUSD;01.01.25;0,2808;16,2;20;0;0;36,4808;72;216;151;18;7,8798528;0,9;8%;0,770%;54,823%;44%;0;0;0;5;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";1400;27868;83604;250,812;33441,6;28564,92495;2392,294951;1196,147476;;;23,92294951;142,8246248;1,3;0,9;10;0,02
herold.biz;How to get started;20.01.25;CUSD;01.01.25;0,153;49,4;8;0;0,02;57,573;102;306;92;19;17,617338;2,6;6%;0,266%;13,930%;86%;0;1;0;2;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";1734;29811;59622;59,622;20867,7;29136,22345;2416,217901;1208,10895;;;24,16217901;145,6811173;0,5;2,6;10;0,02
