type;name;metric;value;demand
distribution;Creator Alpha;score;95.4;
distribution;Creator Beta;score;92.1;
distribution;Creator Gamma;score;88.7;
distribution;Creator Delta;score;85.2;
distribution;Creator Epsilon;score;81.9;
distribution;Creator Zeta;score;78.5;
distribution;Creator Eta;score;75.3;
distribution;Creator Theta;score;72.1;
distribution;Creator Iota;score;69.9;
distribution;Creator Kappa;score;66.4;
distribution;Creator Lambda;score;63.2;
ranking;Creator Alpha;Klickrate;6.2;
ranking;Creator Alpha;Visits;185432;
ranking;Creator Alpha;Recurring;65;
ranking;Creator Alpha;Verweildauer;210;
ranking;Creator Beta;Klickrate;5.8;
ranking;Creator Beta;Visits;150234;
ranking;Creator Beta;Recurring;72;
ranking;Creator Beta;Verweildauer;245;
ranking;Creator Gamma;Klickrate;7.1;
ranking;Creator Gamma;Visits;145890;
ranking;Creator Gamma;Recurring;55;
ranking;Creator Gamma;Verweildauer;180;
ranking;Creator Delta;Klickrate;5.5;
ranking;Creator Delta;Visits;132109;
ranking;Creator Delta;Recurring;68;
ranking;Creator Delta;Verweildauer;220;
ranking;Creator Epsilon;Klickrate;6.5;
ranking;Creator Epsilon;Visits;121550;
ranking;Creator Epsilon;Recurring;61;
ranking;Creator Epsilon;Verweildauer;195;
ranking;Creator Zeta;Klickrate;5.9;
ranking;Creator Zeta;Visits;115345;
ranking;Creator Zeta;Recurring;63;
ranking;Creator Zeta;Verweildauer;205;
ranking;Creator Eta;Klickrate;6.8;
ranking;Creator Eta;Visits;112000;
ranking;Creator Eta;Recurring;58;
ranking;Creator Eta;Verweildauer;190;
ranking;Creator Theta;Klickrate;5.2;
ranking;Creator Theta;Visits;105000;
ranking;Creator Theta;Recurring;75;
ranking;Creator Theta;Verweildauer;250;
ranking;Creator Iota;Klickrate;7.5;
ranking;Creator Iota;Visits;101000;
ranking;Creator Iota;Recurring;50;
ranking;Creator Iota;Verweildauer;170;
ranking;Creator Kappa;Klickrate;5.1;
ranking;Creator Kappa;Visits;98000;
ranking;Creator Kappa;Recurring;69;
ranking;Creator Kappa;Verweildauer;230;
ranking;Creator Lambda;Klickrate;6.0;
ranking;Creator Lambda;Visits;95000;
ranking;Creator Lambda;Recurring;62;
ranking;Creator Lambda;Verweildauer;200;
underrepresented;Decentralized Finance (DeFi);ratio;12.3;
underrepresented;Quantum Computing;ratio;9.5;
underrepresented;Sustainable Urban Planning;ratio;8.9;
underrepresented;Bio-Hacking;ratio;6.2;
underrepresented;AR/VR Development;ratio;5.8;
matchmaking;Decentralized Finance (DeFi);Creator Gamma;;
matchmaking;Sustainable Urban Planning;Creator Epsilon;;
matchmaking;Quantum Computing;Creator Alpha;;
matchmaking;Bio-Hacking;Creator Beta;;
matchmaking;AR/VR Development;Creator Zeta;;
