Name;Volume each;flow_1;Tier 1 Name;self_1;flow_2;Tier 2 Name;self_2;flow_3;Tier 3 Name;self_3;flow_4;Tier 4 Name;self_4;flow_5;Tier 5 Name;self_5;flow_6;Tier 6 Name;self_6
OCOSO;0;2192486;OCOSO;0;2192486;;;;;;;;;;;;;;
Automobile;0;;OCOSO;;40404;Automobile;13468;26936;;;;;;;;;;;
Automotive;0;;OCOSO;;;Automobile;;26936;Automotive;8979;17957;;;;;;;;
Auto Body Styles;0;;OCOSO;;;Automobile;;;Automotive;;5967;Auto Body Styles;1989;3978;;;;;
Commercial Trucks;0;;OCOSO;;;Automobile;;;Automotive;;;Auto Body Styles;;174;Commercial Trucks;174;;;
Convertible;0;;OCOSO;;;Automobile;;;Automotive;;;Auto Body Styles;;556;Convertible;556;;;
Coupe;0;;OCOSO;;;Automobile;;;Automotive;;;Auto Body Styles;;412;Coupe;412;;;
Crossover;0;;OCOSO;;;Automobile;;;Automotive;;;Auto Body Styles;;265;Crossover;265;;;
Hatchback;0;;OCOSO;;;Automobile;;;Automotive;;;Auto Body Styles;;172;Hatchback;172;;;
Microcar;0;;OCOSO;;;Automobile;;;Automotive;;;Auto Body Styles;;137;Microcar;137;;;
Minivan;0;;OCOSO;;;Automobile;;;Automotive;;;Auto Body Styles;;531;Minivan;531;;;
Off-Road Vehicles;0;;OCOSO;;;Automobile;;;Automotive;;;Auto Body Styles;;690;Off-Road Vehicles;690;;;
Pickup Trucks;0;;OCOSO;;;Automobile;;;Automotive;;;Auto Body Styles;;383;Pickup Trucks;383;;;
Sedan;0;;OCOSO;;;Automobile;;;Automotive;;;Auto Body Styles;;12;Sedan;12;;;
Station Wagon;0;;OCOSO;;;Automobile;;;Automotive;;;Auto Body Styles;;32;Station Wagon;32;;;
SUV;0;;OCOSO;;;Automobile;;;Automotive;;;Auto Body Styles;;604;SUV;604;;;
Van;0;;OCOSO;;;Automobile;;;Automotive;;;Auto Body Styles;;10;Van;10;;;
Auto Buying and Selling;0;;OCOSO;;;Automobile;;;Automotive;;505;Auto Buying and Selling;505;;;;;;
Auto Insurance;0;;OCOSO;;;Automobile;;;Automotive;;887;Auto Insurance;887;;;;;;
Auto Parts;0;;OCOSO;;;Automobile;;;Automotive;;980;Auto Parts;980;;;;;;
Auto Recalls;0;;OCOSO;;;Automobile;;;Automotive;;106;Auto Recalls;106;;;;;;
Auto Rentals;0;;OCOSO;;;Automobile;;;Automotive;;338;Auto Rentals;338;;;;;;
Auto Repair;0;;OCOSO;;;Automobile;;;Automotive;;836;Auto Repair;836;;;;;;
Auto Safety;0;;OCOSO;;;Automobile;;;Automotive;;633;Auto Safety;633;;;;;;
Auto Shows;0;;OCOSO;;;Automobile;;;Automotive;;547;Auto Shows;547;;;;;;
Auto Technology;0;;OCOSO;;;Automobile;;;Automotive;;911;Auto Technology;304;607;;;;;
Auto Infotainment Technologies;0;;OCOSO;;;Automobile;;;Automotive;;;Auto Technology;;20;Auto Infotainment Technologies;20;;;
Auto Navigation Systems;0;;OCOSO;;;Automobile;;;Automotive;;;Auto Technology;;183;Auto Navigation Systems;183;;;
Auto Safety Technologies;0;;OCOSO;;;Automobile;;;Automotive;;;Auto Technology;;404;Auto Safety Technologies;404;;;
Auto Type;0;;OCOSO;;;Automobile;;;Automotive;;4184;Auto Type;1395;2789;;;;;
Budget Cars;0;;OCOSO;;;Automobile;;;Automotive;;;Auto Type;;417;Budget Cars;417;;;
Certified Pre-Owned Cars;0;;OCOSO;;;Automobile;;;Automotive;;;Auto Type;;467;Certified Pre-Owned Cars;467;;;
Classic Cars;0;;OCOSO;;;Automobile;;;Automotive;;;Auto Type;;261;Classic Cars;261;;;
Concept Cars;0;;OCOSO;;;Automobile;;;Automotive;;;Auto Type;;300;Concept Cars;300;;;
Driverless Cars;0;;OCOSO;;;Automobile;;;Automotive;;;Auto Type;;51;Driverless Cars;51;;;
Green Vehicles;0;;OCOSO;;;Automobile;;;Automotive;;;Auto Type;;749;Green Vehicles;749;;;
Luxury Cars;0;;OCOSO;;;Automobile;;;Automotive;;;Auto Type;;30;Luxury Cars;30;;;
Performance Cars;0;;OCOSO;;;Automobile;;;Automotive;;;Auto Type;;514;Performance Cars;514;;;
Car Culture;0;;OCOSO;;;Automobile;;;Automotive;;377;Car Culture;377;;;;;;
Dash Cam Videos;0;;OCOSO;;;Automobile;;;Automotive;;480;Dash Cam Videos;480;;;;;;
Motorcycles;0;;OCOSO;;;Automobile;;;Automotive;;665;Motorcycles;665;;;;;;
Road-Side Assistance;0;;OCOSO;;;Automobile;;;Automotive;;347;Road-Side Assistance;347;;;;;;
Scooters;0;;OCOSO;;;Automobile;;;Automotive;;194;Scooters;194;;;;;;
Business Finance and Careers;0;;OCOSO;;128288;Business Finance and Careers;42763;85525;;;;;;;;;;;
