Date,Category,Monetization,Asset_Count,Avg_Value,Total_Value
2025-01-12,Publishing,Advertising,5,25.07,125.35
2025-01-12,Publishing,Staking,5,94.72,473.6
2025-01-12,Publishing,Licensing,5,62.94,314.7
2025-01-12,Publishing,Subscriptions,5,40.13,200.65
2025-01-12,Media & Entertainment,Advertising,5,33.98,169.9
2025-01-12,Media & Entertainment,Staking,5,70.42,352.1
2025-01-12,Media & Entertainment,Licensing,5,98.96,494.8
2025-01-12,Media & Entertainment,Subscriptions,5,97.11,485.55
2025-01-12,Knowledge & Utilities,Advertising,5,96.48,482.4
2025-01-12,Knowledge & Utilities,Staking,5,79.11,395.55
2025-01-12,Knowledge & Utilities,Licensing,5,23.98,119.9
2025-01-12,Knowledge & Utilities,Subscriptions,5,75.79,378.95
2025-01-12,Gaming,Advertising,5,52.2,261.0
2025-01-12,Gaming,Staking,5,41.87,209.35
2025-01-12,Gaming,Licensing,5,81.65,408.25
2025-01-12,Gaming,Subscriptions,5,90.18,450.9
2025-01-12,Education,Advertising,5,34.94,174.7
2025-01-12,Education,Staking,5,99.71,498.55
2025-01-12,Education,Licensing,5,98.53,492.65
2025-01-12,Education,Subscriptions,5,34.93,174.65
2025-01-12,Health & Wellness,Advertising,5,82.71,413.55
2025-01-12,Health & Wellness,Staking,5,87.91,439.55
2025-01-12,Health & Wellness,Licensing,5,25.98,129.9
2025-01-12,Health & Wellness,Subscriptions,5,92.92,464.6
2025-01-12,Finance & Business,Advertising,5,29.39,146.95
2025-01-12,Finance & Business,Staking,5,80.94,404.7
2025-01-12,Finance & Business,Licensing,5,39.49,197.45
2025-01-12,Finance & Business,Subscriptions,5,49.34,246.7
2025-01-12,Lifestyle,Advertising,5,47.62,238.1
2025-01-12,Lifestyle,Staking,5,88.68,443.4
2025-01-12,Lifestyle,Licensing,5,86.04,430.2
2025-01-12,Lifestyle,Subscriptions,5,66.09,330.45
2025-01-12,Technology,Advertising,5,60.84,304.2
2025-01-12,Technology,Staking,5,46.67,233.35
2025-01-12,Technology,Licensing,5,97.41,487.05
2025-01-12,Technology,Subscriptions,5,28.29,141.45
2025-01-12,Politics & News,Advertising,5,64.23,321.15
2025-01-12,Politics & News,Staking,5,88.56,442.8
2025-01-12,Politics & News,Licensing,5,49.27,246.35
2025-01-12,Politics & News,Subscriptions,5,82.46,412.3
2025-01-13,Publishing,Advertising,5,28.22,141.1
2025-01-13,Publishing,Staking,5,88.79,443.95
2025-01-13,Publishing,Licensing,5,78.03,390.15
2025-01-13,Publishing,Subscriptions,5,59.75,298.75
2025-01-13,Media & Entertainment,Advertising,5,58.15,290.75
